fecha,ndvi
2017-04-09,0.6328600022665898
2017-04-19,0.5393408032737886
2017-05-19,0.6274835425684694
2017-06-18,0.6185843354111412
2017-07-18,0.5390578408271257
2017-07-28,0.5962986888138754
2017-08-17,0.5876197487087986
2017-09-06,0.6222513030441709
2017-09-16,0.5669084148360705
2017-10-06,0.6816190060625797
2017-10-16,0.6801627811837512
2017-10-26,0.7055590208992535
2017-11-05,0.6316057894549884
2017-12-05,0.7586493684440526
2018-01-19,0.7650048846323506
2018-01-24,0.7496876430831976
2018-01-29,0.7359326815935324
2018-04-19,0.5453296106788221
2018-04-24,0.49814591432110733
2018-05-04,0.5508208957430466
2018-05-09,0.5686186158457949
2018-06-18,0.5802312485651625
2018-06-23,0.5638139088826978
2018-07-03,0.5912975988612483
2018-07-08,0.5751399045287404
2018-07-13,0.3540318636016262
2018-07-18,0.583740284545358
2018-07-23,0.5884724462934056
2018-07-28,0.5923119129840968
2018-08-02,0.575173282739957
2018-08-07,0.520295542549829
2018-08-22,0.6999511821952896
2018-08-27,0.6002982125389171
2018-09-01,0.5954055908022946
2018-09-16,0.6137446468471524
2018-10-01,0.6451822483473177
2018-10-06,0.6369409635312734
2018-10-16,0.660270111254853
2018-10-21,0.01772427583863849
2018-12-30,0.7551439092329925
2019-01-04,0.7479283727750743
2019-01-09,0.7425422100730845
2019-01-14,0.7376050783227519
2019-02-08,0.6982629470443644
2019-02-13,0.6773146703560515
2019-02-18,0.5107829980600969
2019-02-23,0.6320912927343801
2019-03-10,0.6195291740912905
2019-03-15,0.6073718039148316
2019-03-20,0.5635634376183711
2019-03-25,0.5846670109978069
2019-03-30,0.5717294305530963
2019-04-04,0.5951494233316612
2019-04-29,0.561036790208201
2019-05-04,0.5737526838841883
2019-05-14,0.5685435703358194
2019-05-29,0.5754351084708449
2019-06-18,0.5482560299193981
2019-06-28,0.5396402857749822
2019-07-03,0.053281784828392686
2019-07-23,0.523660268888068
2019-07-28,0.5621544548537454
2019-08-02,0.5515429825540208
2019-08-12,0.5606997080385961
2019-08-17,0.553452828090153
2019-08-22,0.5849796382312561
2019-09-26,0.5943597400490437
2019-10-11,0.5942886076585477
2019-10-26,0.6704643085835936
2019-12-10,0.7319035437791509
2019-12-25,0.7388006941428793
2019-12-30,0.7298385950014549
2020-01-09,0.6710472606638672
2020-02-23,0.6398003180963582
2020-03-09,0.5925943424308067
2020-03-14,0.5976437958907264
2020-03-29,0.5803703560974461
2020-04-03,0.6036144631802899
2020-05-08,0.5728519647987994
2020-05-18,0.5948014613612024
2020-05-28,0.5869740247145998
2020-06-22,0.5772750059809966
2020-06-27,0.5715578587237038
2020-07-07,0.570822872239566
2020-07-17,0.5863826908604927
2020-07-27,0.5566799412579648
2020-08-01,0.5858193875780942
2020-08-06,0.5288466612962947
2020-08-16,0.5978488147325622
2020-08-21,0.6014298701124294
2020-08-26,0.5897811934539475
2020-08-31,0.6149687865979717
2020-09-05,0.6050708994761724
2020-09-10,0.5932117770684242
2020-10-30,0.7109701130455279
2020-11-19,0.6930145661103364
2020-12-09,0.5682759012340363
2021-01-13,0.43355799255773336
2021-01-18,0.4584028780408243
2021-03-24,0.6211203205047695
2021-04-08,0.5902860032167615
2021-04-18,0.5923387149289461
2021-06-02,0.611726163130764
2021-06-07,0.5054959820573453
2021-06-12,0.6031850445903784
2021-06-27,0.5889249747045591
2021-07-02,0.5959427262384452
2021-07-12,0.5900810650021374
2021-07-17,0.5946047956782282
2021-07-22,0.5837963279113713
2021-07-27,0.5932756288272621
2021-08-06,0.6005551326173566
2021-08-11,0.4877723678046038
2021-08-16,0.5958641514692847
2021-08-21,0.6043401541077196
2021-08-31,0.5082991601655926
2021-09-05,0.5975077650075908
2021-10-15,0.6829257234006879
2021-10-25,0.6920931596404926
2021-11-09,0.7375980778864085
2021-11-14,0.7398957684136632
2021-11-19,0.7302005108394228
2021-12-14,0.771454664234603
2022-01-08,0.7765911921205759
2022-01-13,0.7533968793550311
2022-01-18,0.751893059972791
2022-01-23,0.7362926231222763
2022-02-02,0.3691854615944578
2022-02-07,0.36023147220331175
2022-02-22,0.35435278916963064
2022-04-18,0.3249360491906603
2022-05-08,0.3365089564751308
2022-05-13,0.34301722649702326
2022-05-28,0.3588368198968457
2022-06-07,0.3534197162875304
2022-07-07,0.3592287610532879
2022-07-12,0.35033045676686236
2022-07-17,0.34886407148945536
2022-07-27,0.3407352710166719
2022-08-01,0.34220704568197835
2022-08-06,0.28645269618159025
2022-08-11,0.31335607760698214
2022-08-21,0.3390075468326353
2022-08-26,0.3270353811346698
2022-08-31,0.3324961967172467
2022-09-05,0.351884845059451
2022-09-10,0.3346313393494254
2022-09-20,0.3628544452940283
2022-10-05,0.3314913753416135
2022-10-15,0.3592648164878551
2022-11-04,0.37595534564652616
2022-12-24,0.32471626719230573
2023-01-28,0.19085071095340606
2023-02-02,0.34109134772433636
2023-02-12,0.33359340037730323
2023-02-17,0.3325688522305466
2023-03-04,0.33969896109557046
2023-03-29,0.295778129154215
2023-04-03,0.3133162057258951
2023-04-08,0.3047714677637663
2023-04-18,0.2589392138486167
2023-05-18,0.32468442804955516
2023-06-17,0.3154609065008959
2023-06-22,0.33137605895113825
2023-06-27,0.32573894673699877
2023-07-02,0.2884288796120561
2023-07-17,0.24519586426315765
2023-07-27,0.3207127967676796
2023-08-01,0.3289863164819533
2023-08-06,0.32411991170573906
2023-08-11,0.32464122652837807
2023-08-16,0.2901723859917308
2023-08-21,0.3211199260374006
2023-08-31,0.3321757380876491
2023-09-20,0.34235502692701086
